id,value,weight,pers
1134,le youtubeur,10,1081
1135,le collectionneur,10,1082
1136,les riches,10,1083
1137,les bourgeois,10,1084
1138,la classe (ouvrière|laborieuse),10,1085
1139,les pauvres,10,1086
1140,l’actrice américaine,10,1087
1141,la chanteuse américaine,10,1087
1142,la sénatrice,10,1088
1143,l’astronaute,10,1089
1144,la comédienne,10,1090
1145,le footballer,10,1091
1146,le footballer argentin,10,1091
1147,l’attaquant du (PSG|Paris Saint-Germain),10,1091
1148,le footballer,10,1092
1149,le meneur de l’(OM|Olympique de Marseille),10,1092
1150,le chanteur,10,1093
1151,la chanteur contestataire,10,1093
1152,le philosophe,10,1094
1153,le philosophe spinoziste,10,1094
1154,l’économiste,10,1095
1155,l’économiste marixiste,10,1095
1156,l’économiste,10,1096
1157,l’humoriste,10,1097
1158,l’humoriste de France Inter,10,1097
1159,le streameur,10,1098
1160,le CEO de la KCorp,10,1098
1161,l’ancien Premier Ministre,10,1099
1162,le comédien,10,1100
1163,le comédien,10,1101
1164,le youtubeur musical,10,1102
1165,le youtubeur belge,10,1102
1166,{ Pers[1103].comp(le rappeur) },10,1102
1167,les chanteurs roumains( franco-belges)?,10,1103
1168,le youtubeur musical,10,1104
1169,les youtubeurs musicaux,10,1105
1170,les internautes,10,1106
1171,le plombier de métal,10,1107
1172,{ .pers.acteur1.surnom } de métal,10,1108
1173,le cinéaste,10,1109
1174,l’humoriste,10,1110
1175,le journaliste,10,1111
1176,la poupée,10,1112
1177,les Français interrogés,10,1113
1178,les potes,10,1114
1179,les chanteurs coréens,10,1115
1180,les chanteuses coréennes,10,1116
1181,la girafe en caoutchouc,10,1117
1182,la créature,10,1118
1183,l’animateur,10,1119
1184,le super-héros de Fort Boyard,10,1120
1185,le vieillard,10,1121
1186,le gardien du Fort Boyard,10,1121
1187,le personnage de Fort Boyard,10,1122
1188,le chien,10,1123
1189,Scoobert Dooby Doo,2,1123
1190,le détective,10,1124
1191,le détective,10,1125
1192,le détective,10,1126
1193,le détective,10,1127
1194,le tueur en série,10,1128
1195,la série,10,1129
1196,le démographe,10,1130
1197,le champignon,10,1131
1198,le comédien,10,1132
1199,la femme politique,10,1133
1200,le polémiste,10,1134
1201,le chanteur,10,1135
1202,l’ancien Ministre de la Culture,10,1136
1203,le rappeur,10,1138
1204,le rappeur du Havre,10,1138
1205,le lapin de la RATP,10,1139
1206,l’écrivaine,10,1140
1207,la restauratrice,10,1141
1208,l’ancien inspecteur du travail,10,1142
1209,l’ancien socialiste,10,1142
1210,l’ancien footballeur,10,1143
1211,le caracal,10,1144
1212,les rappeurs,10,1145
1213,les rappeurs blancs,1,1145
1214,l’animal,10,1146
1215,l’animal,10,1147
1216,les gens,10,1148
1217,la secrétaire d’État à la Jeunesse,10,1149
1218,l’ancien maire,10,1150
1219,le maire à la retraite,10,1150
1220,l’actrice américaine,10,1151
1221,le chancelier allemand,10,1152
1222,l’animateur de radio américain,10,1153
1223,le comédien,10,1154
1224,le militant,10,1155
1225,les humoristes,10,1156
1226,les militants,10,1157
1227,les internautes,10,1158
1228,les internautes,10,1159
1229,l’écrivain,10,1160
1230,l’homme d’affaires,10,1161
1231,la syndicaliste policière,10,1162
1232,l’écrivain,10,1163
1233,les espions,10,1164
1234,les espions,10,1165
1235,l’acteur américain,10,1166
1236,le chasseur,10,1167
